Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_[0],Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,id
"2023/06/05 2:28:10 PM GMT+5:30",26,Male,"Less than once a month","Home and Kitchen",No,Rarely,Filter,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Moderately,Yes,1,Yes,2,1,"Wide product selection","Product quality and accuracy",1
"2023/06/04 9:10:51 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;others",No,"Few times a month",Keyword,"Multiple pages",1,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,"Competitive prices","Customer service responsiveness",2
"2023/06/04 9:18:12 PM GMT+5:30",24,Female,"Multiple times a week","Groceries and Gourmet Food",Yes,"Few times a week",categories,"Multiple pages",1,Maybe,Rarely,"Changed my mind or no longer need the item",Sometimes,Yes,Moderately,No,2,No,2,3,"User-friendly website/app interface","Product quality and accuracy",4
"2023/06/06 4:25:49 PM GMT+5:30",27,Male,"Once a month",others,Sometimes,"Few times a month",Keyword,"Multiple pages",3,Yes,Sometimes,"Changed my mind or no longer need the item",Often,Yes,Moderately,Yes,3,Sometimes,3,1,"Wide product selection","Product quality and accuracy",5
"2023/06/05 3:28:01 PM GMT+5:30",23,Male,"Less than once a month",others,No,Rarely,categories,"Multiple pages",1,Maybe,Often,"Found a better price elsewhere",Never,No,Heavily,Yes,2,No,3,2,"User-friendly website/app interface","Reducing packaging waste",6
"2023/06/06 4:46:25 PM GMT+5:30",38,Female,"Once a month","Beauty and Personal Care;Home and Kitchen",No,"Few times a month",Keyword,"Multiple pages",2,Yes,Often,"Changed my mind or no longer need the item",Never,Yes,Moderately,Sometimes,4,Sometimes,4,2,"Wide product selection","Product quality and accuracy",7
"2023/06/04 9:22:58 PM GMT+5:30",22,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Often,No,Heavily,Yes,3,Sometimes,2,2,"Wide product selection","Shipping speed and reliability",8
"2023/06/05 4:46:52 PM GMT+5:30",23,Female,"Less than once a month","Home and Kitchen",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"Changed my mind or no longer need the item",Rarely,No,Heavily,Yes,3,Yes,2,2,"Wide product selection","Product quality and accuracy",9
"2023/06/04 9:29:59 PM GMT+5:30",23,Female,"Less than once a month","Beauty and Personal Care",No,"Few times a month",categories,"Multiple pages",4,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Occasionally,Sometimes,3,Yes,3,5,"Wide product selection","Reducing packaging waste",11
"2023/06/05 4:49:43 PM GMT+5:30",30,Male,"Once a week","Groceries and Gourmet Food;Home and Kitchen",Yes,"Few times a week",Filter,"Multiple pages",4,Yes,Often,"Found a better price elsewhere",Always,Yes,Moderately,Yes,4,Yes,4,4,"Product recommendations","Customer service responsiveness",12
"2023/06/04 9:40:54 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;others",Sometimes,"Few times a week",categories,"Multiple pages",1,Yes,Often,others,Often,No,Heavily,Yes,3,Sometimes,2,2,"User-friendly website/app interface","Shipping speed and reliability",13
"2023/06/05 4:50:33 PM GMT+5:30",24,Female,"Less than once a month",others,No,Rarely,categories,"Multiple pages",2,Yes,Sometimes,"Found a better price elsewhere",Often,No,Moderately,Yes,2,Sometimes,2,2,"Wide product selection","Product quality and accuracy",15
"2023/06/06 6:32:36 PM GMT+5:30",23,Male,"Few times a month",others,No,"Few times a week",categories,"Multiple pages",3,No,Rarely,"Found a better price elsewhere",Sometimes,Yes,Heavily,Sometimes,2,Yes,3,3,"Competitive prices","Reducing packaging waste",16
"2023/06/04 9:48:15 PM GMT+5:30",24,Female,"Less than once a month","Clothing and Fashion",Yes,"Few times a month",Keyword,"Multiple pages",4,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Occasionally,Yes,4,Yes,5,4,"Competitive prices","Reducing packaging waste",17
"2023/06/04 1:28:19 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care",Yes,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,"Competitive prices","Reducing packaging waste",19
"2023/06/04 2:30:44 PM GMT+5:30",23,Female,"Once a month","Clothing and Fashion",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,"High shipping costs",Rarely,No,Heavily,Yes,2,Sometimes,3,2,"Wide product selection","Reducing packaging waste",20
"2023/06/04 5:04:56 PM GMT+5:30",24,"Prefer not to say","Few times a month","Groceries and Gourmet Food;Clothing and Fashion",No,"Few times a month",Keyword,"Multiple pages",2,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Occasionally,No,4,No,3,3,"Competitive prices","Product quality and accuracy",21
"2023/06/04 5:28:06 PM GMT+5:30",22,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Few times a month",Filter,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Rarely,No,Heavily,Yes,4,Yes,2,2,"Competitive prices","Product quality and accuracy",23
"2023/06/04 6:01:59 PM GMT+5:30",21,Female,"Less than once a month","Clothing and Fashion",No,Rarely,categories,"Multiple pages",1,Yes,Rarely,"Changed my mind or no longer need the item",Never,No,Heavily,Yes,5,No,5,2,"Wide product selection","Product quality and accuracy",24
"2023/06/04 10:13:28 PM GMT+5:30",25,Female,"Few times a month","Groceries and Gourmet Food;Clothing and Fashion;others",No,"Few times a week",Keyword,"Multiple pages",5,Yes,Often,"High shipping costs",Never,Yes,Heavily,Yes,2,Sometimes,3,4,"Wide product selection","Product quality and accuracy",25
"2023/06/04 11:09:27 PM GMT+5:30",23,Female,"Less than once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",Yes,"Multiple times a day",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Always,Yes,Heavily,Yes,1,Yes,2,1,"Wide product selection","Reducing packaging waste",29
"2023/06/06 6:35:14 PM GMT+5:30",26,Male,"Less than once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",Yes,"Few times a week",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Sometimes,No,Heavily,Yes,1,Yes,2,1,"Wide product selection","Customer service responsiveness",30
"2023/06/04 11:12:15 PM GMT+5:30",23,Male,"Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",Yes,"Few times a week",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Rarely,Yes,Heavily,Yes,3,Yes,1,1,"Competitive prices","Customer service responsiveness",31
"2023/06/04 11:24:41 PM GMT+5:30",24,Female,"Less than once a month",others,Sometimes,"Multiple times a day",Keyword,"Multiple pages",1,Yes,Rarely,"Found a better price elsewhere",Rarely,Yes,Heavily,Yes,3,Sometimes,3,1,"Wide product selection","Product quality and accuracy",33
"2023/06/06 6:36:16 PM GMT+5:30",29,"Prefer not to say","Once a week","Beauty and Personal Care",Yes,"Few times a week",categories,"Multiple pages",1,No,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Occasionally,No,3,No,2,1,"Competitive prices","Customer service responsiveness",34
"2023/06/06 6:37:19 PM GMT+5:30",35,"Prefer not to say","Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",No,"Few times a month",Filter,"Multiple pages",3,No,Sometimes,"Found a better price elsewhere",Sometimes,No,Never,No,4,No,3,2,"Competitive prices","Reducing packaging waste",36
"2023/06/06 6:37:26 PM GMT+5:30",21,Female,"Once a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Changed my mind or no longer need the item",Sometimes,No,Heavily,Yes,1,Sometimes,3,1,"Competitive prices","Product quality and accuracy",37
"2023/06/04 11:38:30 PM GMT+5:30",23,Female,"Less than once a month","Beauty and Personal Care;Home and Kitchen",Sometimes,Rarely,categories,"Multiple pages",1,Maybe,Often,"Found a better price elsewhere",Rarely,No,Moderately,Yes,2,Sometimes,2,2,"Wide product selection","Reducing packaging waste",38
"2023/06/04 11:57:10 PM GMT+5:30",29,Male,"Once a month","Clothing and Fashion",Sometimes,"Few times a week",categories,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Often,No,Moderately,Yes,2,Yes,2,2,"Competitive prices","Customer service responsiveness",40
"2023/06/05 12:02:56 AM GMT+5:30",19,Female,"Few times a month","Clothing and Fashion",Yes,"Few times a week",Keyword,"Multiple pages",5,Yes,Always,"Found a better price elsewhere",Rarely,Yes,Rarely,Yes,3,Yes,3,5,"Competitive prices","Shipping speed and reliability",42
"2023/06/05 4:52:12 PM GMT+5:30",54,Others,"Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",Yes,"Multiple times a day",categories,"Multiple pages",4,Yes,Always,others,Always,Yes,Heavily,Yes,5,Yes,5,5,"Competitive prices","Shipping speed and reliability",43
"2023/06/05 6:49:25 PM GMT+5:30",58,Male,"Once a month","Clothing and Fashion;others",No,"Few times a week",Keyword,"Multiple pages",5,Yes,Sometimes,"Changed my mind or no longer need the item",Never,No,Never,No,4,No,3,3,"Competitive prices","Reducing packaging waste",44
"2023/06/04 6:31:41 PM GMT+5:30",22,Female,"Less than once a month","Clothing and Fashion",No,Rarely,Filter,"Multiple pages",1,Yes,Often,"High shipping costs",Rarely,No,Heavily,Yes,3,Sometimes,3,3,"Wide product selection","Shipping speed and reliability",45
"2023/06/05 12:05:20 AM GMT+5:30",26,Female,"Less than once a month",others,Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Sometimes,Yes,Moderately,Yes,1,Yes,2,2,"Competitive prices","Product quality and accuracy",47
